연번,호선,역번호,역명,광고시설물명,광고시설물 수량,광고대행사,데이터기준일자
100,1,154,종로5가,제2기 교통카드 RF단말기 광고,37,서울신교통카드,2024-11-28
101,1,155,동대문(1),역구내조명광고,0,브랜드발전소,2024-11-28
102,1,155,동대문(1),역구내포스터,0,브랜드발전소,2024-11-28
103,1,155,동대문(1),멀티비젼,0,나스미디어,2024-11-28
104,1,155,동대문(1),디지털포스터,0,브랜드발전소,2024-11-28
105,1,155,동대문(1),기둥조명,0,전홍,2024-11-28
106,1,155,동대문(1),승강장안전문 조명(민자제외),4,에스엘엠엔씨,2024-11-28
107,1,155,동대문(1),승강장매립형,0,,2024-11-28
108,1,155,동대문(1),공간활용 프로모션,0,전홍,2024-11-28
109,1,155,동대문(1),승강장음성광고,0,양진텔레콤,2024-11-28
110,1,155,동대문(1),디지털종합안내도_디지털,0,싸인텔레콤,2024-11-28
111,1,155,동대문(1),디지털종합안내도_인쇄식,13,싸인텔레콤,2024-11-28
112,1,155,동대문(1),디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
113,1,155,동대문(1),스마트 정보 안내시스템,0,,2024-11-28
114,1,155,동대문(1),디지털보드,0,씨에스와이커뮤니케이션,2024-11-28
115,1,155,동대문(1),지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
116,1,155,동대문(1),승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
117,1,155,동대문(1),승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
118,1,155,동대문(1),승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
119,1,155,동대문(1),역구내행선안내게시기,0,,2024-11-28
120,1,155,동대문(1),제2기 교통카드 RF단말기 광고,31,서울신교통카드,2024-11-28
121,1,159,동묘앞(1),역구내조명광고,0,브랜드발전소,2024-11-28
122,1,159,동묘앞(1),역구내포스터,0,브랜드발전소,2024-11-28
123,1,159,동묘앞(1),멀티비젼,0,나스미디어,2024-11-28
124,1,159,동묘앞(1),디지털포스터,0,브랜드발전소,2024-11-28
125,1,159,동묘앞(1),기둥조명,0,전홍,2024-11-28
126,1,159,동묘앞(1),승강장안전문 조명(민자제외),0,에스엘엠엔씨,2024-11-28
127,1,159,동묘앞(1),승강장매립형,0,,2024-11-28
128,1,159,동묘앞(1),공간활용 프로모션,0,전홍,2024-11-28
129,1,159,동묘앞(1),승강장음성광고,0,양진텔레콤,2024-11-28
130,1,159,동묘앞(1),디지털종합안내도_디지털,8,싸인텔레콤,2024-11-28
131,1,159,동묘앞(1),디지털종합안내도_인쇄식,6,싸인텔레콤,2024-11-28
132,1,159,동묘앞(1),디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
133,1,159,동묘앞(1),스마트 정보 안내시스템,0,,2024-11-28
134,1,159,동묘앞(1),디지털보드,2,씨에스와이커뮤니케이션,2024-11-28
135,1,159,동묘앞(1),지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
136,1,159,동묘앞(1),승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
137,1,159,동묘앞(1),승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
138,1,159,동묘앞(1),승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
139,1,159,동묘앞(1),역구내행선안내게시기,0,,2024-11-28
140,1,159,동묘앞(1),제2기 교통카드 RF단말기 광고,16,서울신교통카드,2024-11-28
141,1,156,신설동(1),역구내조명광고,0,브랜드발전소,2024-11-28
142,1,156,신설동(1),역구내포스터,0,브랜드발전소,2024-11-28
143,1,156,신설동(1),멀티비젼,0,나스미디어,2024-11-28
144,1,156,신설동(1),디지털포스터,0,브랜드발전소,2024-11-28
145,1,156,신설동(1),기둥조명,0,전홍,2024-11-28
146,1,156,신설동(1),승강장안전문 조명(민자제외),0,에스엘엠엔씨,2024-11-28
147,1,156,신설동(1),승강장매립형,0,,2024-11-28
148,1,156,신설동(1),공간활용 프로모션,0,전홍,2024-11-28
149,1,156,신설동(1),승강장음성광고,0,양진텔레콤,2024-11-28
150,1,156,신설동(1),디지털종합안내도_디지털,0,싸인텔레콤,2024-11-28
151,1,156,신설동(1),디지털종합안내도_인쇄식,9,싸인텔레콤,2024-11-28
152,1,156,신설동(1),디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
153,1,156,신설동(1),스마트 정보 안내시스템,0,,2024-11-28
154,1,156,신설동(1),디지털보드,0,씨에스와이커뮤니케이션,2024-11-28
155,1,156,신설동(1),지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
156,1,156,신설동(1),승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
157,1,156,신설동(1),승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
158,1,156,신설동(1),승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
159,1,156,신설동(1),역구내행선안내게시기,0,,2024-11-28
